iter	Logloss
0	0.4501713978
1	0.3222819596
2	0.2475333073
3	0.2023942869
4	0.1729947375
5	0.1554722722
6	0.1442851993
7	0.1324096881
8	0.122856594
9	0.1144113181
10	0.1093993221
11	0.1026180981
12	0.09805453383
13	0.09287031148
14	0.09014356482
15	0.08583308183
16	0.08249832303
17	0.07930459566
18	0.07700970148
19	0.07395792488
20	0.07187944263
21	0.07032750869
22	0.06737262486
23	0.06509497815
24	0.06328753202
25	0.0619867446
26	0.06049948535
27	0.05885353314
28	0.05716644932
29	0.05589921202
30	0.05444874985
31	0.05315740596
32	0.05123984956
33	0.0497767919
34	0.04801895461
35	0.04744443462
36	0.04609149071
37	0.04501401058
38	0.0441240794
39	0.04277370085
40	0.04179789079
41	0.04112615817
42	0.04001630809
43	0.03881213274
44	0.0380973928
45	0.03722471701
46	0.03680012067
47	0.03554527278
48	0.03466588668
49	0.03420049764
50	0.0334027231
51	0.0323510428
52	0.03151368754
53	0.03087118513
54	0.03019547768
55	0.02983492959
56	0.0293865861
57	0.02866956094
58	0.02820981193
59	0.02763126183
60	0.02683366105
61	0.02611855656
62	0.02558566395
63	0.0253003151
64	0.02486927758
65	0.02443143798
66	0.0239925623
67	0.0234347193
68	0.02304011767
69	0.02245063031
70	0.02195443093
71	0.0216220033
72	0.02110866942
73	0.02065662628
74	0.02034283615
75	0.01986441449
76	0.01936775584
77	0.01912209787
78	0.01879181169
79	0.01858003733
80	0.01826703103
81	0.01812947135
82	0.01761541938
83	0.0170606271
84	0.01671977223
85	0.01657882902
86	0.01635622158
87	0.01604221704
88	0.01590484467
89	0.01568549813
90	0.01541317639
91	0.01504295473
92	0.0147803071
93	0.01458402867
94	0.0143263064
95	0.01408070236
96	0.01383194577
97	0.01353495988
98	0.01327615371
99	0.01312796671
100	0.01294328895
101	0.01279641858
102	0.0126195912
103	0.01239499977
104	0.01226138634
105	0.01201206354
106	0.01194303069
107	0.01183118586
108	0.01167742786
109	0.01157869735
110	0.01150871014
111	0.0113788772
112	0.01130292009
113	0.01123446766
114	0.01114617604
115	0.01100656354
116	0.01094759603
117	0.01075791354
118	0.01064984698
119	0.01055845458
120	0.01049086997
121	0.01035273464
122	0.01027157644
123	0.01019400243
124	0.01005742569
125	0.009907403397
126	0.009715198919
127	0.009562395281
128	0.009446053421
129	0.00934708875
130	0.009216293868
131	0.009070379031
132	0.008914218824
133	0.008839497067
134	0.008754275886
135	0.008680381129
136	0.008597375455
137	0.008549309753
138	0.008457129398
139	0.008355993832
140	0.008272499707
141	0.008152975769
142	0.007972676296
143	0.007896913603
144	0.007762427763
145	0.007630976011
146	0.007545385724
147	0.007475826249
148	0.007350058606
149	0.007300839029
150	0.007271843425
151	0.007186603662
152	0.007091036046
153	0.007039734932
154	0.007010657417
155	0.00692523991
156	0.006833562966
157	0.006742371958
158	0.006669253148
159	0.006613710672
160	0.006496523162
161	0.00644937422
162	0.006410067302
163	0.006344582045
164	0.006319405868
165	0.006287958951
166	0.00625630172
167	0.006180535203
168	0.006059281995
169	0.00601378598
170	0.005969098649
171	0.00590085221
172	0.00586530206
173	0.00586530206
174	0.00580067852
175	0.0057550697
176	0.005673859039
177	0.005649709711
178	0.00562307036
179	0.005587958515
180	0.005501683853
181	0.005451699833
182	0.005416334001
183	0.005388718821
184	0.005353402566
185	0.005288070332
186	0.005255422446
187	0.005200192522
188	0.00514830902
189	0.005087935899
190	0.005043578379
191	0.005011762591
192	0.004967912994
193	0.00493660907
194	0.004879929976
195	0.004857250479
196	0.004815834703
197	0.004744366991
198	0.004716943072
199	0.004690747997
200	0.004664820091
201	0.004616216009
202	0.004576378928
