iter	Passed	Remaining
338	16143	31478
339	16179	31407
340	16213	31333
341	16248	31261
342	16285	31194
343	16323	31128
344	16364	31069
345	16402	31004
346	16442	30942
347	16477	30872
348	16512	30801
349	16547	30731
350	16583	30662
351	16625	30605
352	16663	30541
353	16700	30475
354	16739	30414
355	16778	30351
356	16817	30290
357	16855	30226
358	16892	30162
359	16928	30095
360	16965	30031
361	17002	29965
362	17040	29903
363	17075	29836
364	17110	29767
365	17149	29706
366	17185	29641
367	17223	29579
368	17262	29519
369	17304	29464
370	17350	29416
371	17394	29364
372	17433	29305
373	17477	29253
374	17516	29194
375	17557	29137
376	17597	29079
377	17638	29024
378	17677	28965
379	17716	28905
380	17751	28840
381	17789	28780
382	17826	28717
383	17861	28652
384	17897	28589
385	17936	28530
386	17970	28464
387	18007	28404
388	18044	28341
389	18082	28283
390	18118	28219
391	18153	28157
392	18189	28093
393	18226	28034
394	18261	27970
395	18296	27906
396	18336	27850
397	18376	27795
398	18413	27734
399	18447	27671
400	18482	27608
401	18521	27551
402	18558	27492
403	18596	27434
404	18632	27373
405	18674	27321
406	18715	27267
407	18753	27211
408	18791	27153
409	18829	27096
410	18867	27038
411	18903	26978
412	18939	26918
413	18977	26862
414	19013	26802
415	19048	26741
416	19085	26683
417	19124	26627
418	19158	26566
419	19193	26505
420	19228	26445
421	19266	26388
422	19304	26332
423	19346	26282
424	19383	26224
425	19420	26167
426	19456	26108
427	19490	26047
428	19524	25986
429	19559	25927
430	19597	25872
431	19631	25812
432	19667	25753
433	19703	25696
434	19737	25636
435	19773	25578
436	19812	25524
437	19848	25467
438	19883	25409
439	19925	25359
440	19978	25323
441	20014	25267
442	20050	25210
443	20086	25153
444	20126	25101
445	20163	25045
446	20197	24987
447	20234	24931
448	20271	24876
449	20311	24825
450	20353	24776
451	20389	24719
452	20426	24664
453	20461	24608
454	20497	24551
455	20532	24494
456	20568	24438
457	20604	24383
458	20640	24328
459	20675	24271
460	20710	24214
461	20745	24158
462	20782	24103
463	20817	24047
464	20852	23991
465	20886	23934
466	20923	23880
467	20957	23823
468	20994	23770
469	21030	23715
470	21068	23662
471	21102	23605
472	21145	23559
473	21182	23505
474	21223	23457
475	21266	23410
476	21312	23367
477	21359	23325
478	21404	23281
479	21449	23237
480	21490	23187
481	21528	23136
482	21568	23087
483	21607	23036
484	21648	22987
485	21687	22937
486	21722	22882
487	21761	22831
488	21810	22791
489	21871	22763
490	21927	22731
491	21973	22687
492	22022	22647
493	22062	22598
494	22110	22557
495	22146	22503
496	22184	22452
497	22223	22401
498	22263	22352
499	22305	22305
500	22347	22257
501	22388	22209
502	22428	22161
503	22465	22108
504	22505	22060
505	22548	22013
506	22594	21971
507	22641	21928
508	22685	21883
509	22740	21848
510	22792	21811
511	22847	21776
512	22896	21735
513	22939	21689
514	22987	21648
515	23029	21601
516	23075	21557
517	23112	21506
518	23156	21461
519	23194	21410
520	23241	21367
521	23285	21322
522	23334	21282
523	23383	21241
524	23434	21203
525	23476	21155
526	23523	21113
527	23566	21066
528	23612	21023
529	23659	20980
530	23703	20935
531	23748	20891
532	23796	20849
533	23834	20799
534	23878	20754
535	23924	20710
536	23960	20659
537	24001	20611
538	24037	20558
539	24073	20507
540	24115	20459
541	24158	20414
542	24204	20370
543	24242	20321
544	24287	20276
545	24334	20233
546	24379	20190
547	24420	20142
548	24465	20098
549	24506	20050
550	24546	20002
551	24587	19954
552	24630	19909
553	24671	19861
554	24715	19816
555	24760	19772
556	24807	19730
557	24847	19682
558	24884	19631
559	24923	19582
560	24963	19534
561	25001	19485
562	25038	19434
563	25088	19394
564	25145	19359
565	25185	19312
566	25225	19263
567	25265	19215
568	25309	19170
569	25352	19125
570	25394	19078
571	25433	19030
572	25474	18983
573	25514	18935
574	25554	18887
575	25591	18837
576	25629	18789
577	25668	18740
578	25707	18692
579	25746	18643
580	25786	18596
581	25826	18548
582	25867	18502
583	25907	18454
584	25945	18405
585	25984	18357
586	26021	18308
587	26058	18258
588	26096	18210
589	26137	18163
590	26175	18114
591	26212	18065
592	26250	18017
593	26295	17973
594	26336	17926
595	26379	17881
596	26420	17835
597	26462	17789
598	26503	17742
599	26547	17698
600	26592	17654
601	26633	17608
602	26674	17561
603	26716	17516
604	26762	17473
605	26806	17428
606	26854	17387
607	26904	17346
608	26942	17298
609	26990	17256
610	27042	17217
611	27079	17167
612	27114	17118
613	27153	17070
614	27194	17024
615	27232	16976
616	27276	16932
617	27320	16887
618	27361	16841
619	27402	16794
620	27442	16748
621	27486	16703
622	27524	16656
623	27566	16610
624	27607	16564
625	27651	16520
626	27695	16475
627	27743	16434
628	27794	16393
629	27841	16351
630	27887	16308
631	27936	16266
632	27981	16223
633	28026	16179
634	28070	16134
635	28108	16087
636	28145	16038
637	28187	15993
638	28225	15945
639	28262	15897
640	28304	15852
641	28347	15807
642	28385	15759
643	28431	15716
644	28466	15667
645	28505	15620
646	28542	15572
647	28582	15526
648	28619	15478
649	28657	15430
650	28692	15382
651	28730	15334
652	28767	15286
653	28803	15238
654	28841	15191
655	28878	15143
656	28914	15095
657	28951	15047
658	28988	15000
659	29024	14951
660	29062	14904
661	29098	14856
662	29134	14808
663	29170	14761
664	29208	14714
665	29249	14668
666	29290	14623
667	29328	14576
668	29364	14528
669	29405	14483
670	29444	14437
671	29488	14392
672	29529	14347
673	29569	14302
674	29608	14255
675	29647	14209
676	29690	14165
677	29730	14120
678	29771	14074
679	29808	14027
680	29845	13980
681	29883	13933
682	29918	13885
683	29957	13840
684	29995	13793
685	30035	13747
686	30071	13700
687	30109	13654
688	30151	13609
689	30187	13562
690	30225	13516
691	30268	13471
692	30310	13427
693	30351	13382
694	30387	13335
695	30429	13290
696	30473	13247
697	30519	13204
698	30564	13161
699	30609	13118
700	30647	13072
701	30692	13029
702	30744	12988
703	30785	12943
704	30826	12898
705	30865	12853
706	30906	12808
707	30943	12761
708	30983	12716
709	31019	12669
710	31060	12625
711	31095	12578
712	31135	12532
713	31172	12486
714	31214	12441
715	31255	12397
716	31302	12355
717	31340	12309
718	31379	12263
719	31423	12220
720	31471	12178
721	31511	12133
722	31551	12088
723	31591	12043
724	31634	11999
725	31674	11954
726	31715	11909
727	31761	11866
728	31805	11823
729	31847	11779
730	31889	11734
731	31928	11689
732	31972	11646
733	32013	11601
734	32052	11556
735	32093	11511
736	32131	11466
737	32169	11420
738	32209	11375
739	32249	11331
740	32296	11288
741	32336	11243
742	32374	11198
743	32414	11153
744	32453	11108
745	32494	11063
746	32532	11018
747	32569	10972
748	32607	10927
749	32648	10882
750	32693	10839
751	32732	10794
752	32769	10749
753	32812	10705
754	32852	10660
755	32892	10616
756	32933	10571
757	32975	10527
758	33013	10482
759	33053	10438
760	33090	10392
761	33128	10347
762	33165	10301
763	33203	10256
764	33243	10212
765	33287	10168
766	33327	10124
767	33366	10079
768	33402	10033
769	33442	9989
770	33482	9944
771	33522	9900
772	33560	9855
773	33602	9811
774	33642	9767
775	33685	9723
776	33725	9679
777	33763	9634
778	33804	9590
779	33843	9545
780	33880	9500
781	33918	9455
782	33955	9410
783	33994	9365
784	34034	9321
785	34071	9276
786	34109	9231
787	34145	9186
788	34185	9142
789	34222	9097
790	34265	9053
791	34306	9009
792	34345	8965
793	34385	8921
794	34424	8876
795	34464	8832
796	34504	8788
797	34541	8743
798	34578	8698
799	34619	8654
800	34660	8611
801	34698	8566
802	34737	8522
803	34779	8478
804	34824	8435
805	34866	8392
806	34908	8348
807	34953	8305
808	34992	8261
809	35031	8217
810	35073	8173
811	35111	8129
812	35150	8085
813	35191	8041
814	35233	7997
815	35280	7955
816	35320	7911
817	35357	7866
818	35397	7822
819	35433	7778
820	35473	7734
821	35511	7689
822	35549	7645
823	35586	7600
824	35624	7556
825	35662	7512
826	35702	7468
827	35741	7424
828	35778	7380
829	35821	7336
830	35860	7292
831	35896	7248
832	35937	7204
833	35978	7161
834	36016	7117
835	36057	7073
836	36095	7029
837	36136	6985
838	36173	6941
839	36214	6898
840	36260	6855
841	36305	6812
842	36344	6768
843	36385	6725
844	36426	6681
845	36466	6638
846	36505	6594
847	36550	6551
848	36597	6509
849	36633	6464
850	36670	6420
851	36718	6378
852	36758	6334
853	36797	6290
854	36834	6246
855	36874	6203
856	36910	6158
857	36949	6115
858	36988	6071
859	37053	6031
860	37101	5989
861	37138	5945
862	37178	5902
863	37217	5858
864	37258	5814
865	37296	5770
866	37345	5728
867	37383	5684
868	37421	5641
869	37461	5597
870	37499	5553
871	37535	5509
872	37575	5466
873	37611	5422
874	37648	5378
875	37688	5334
876	37731	5291
877	37776	5249
878	37821	5206
879	37862	5163
880	37908	5120
881	37952	5077
882	37996	5034
883	38043	4992
884	38091	4949
885	38138	4907
886	38185	4864
887	38239	4823
888	38292	4781
889	38339	4738
890	38385	4695
891	38431	4653
892	38479	4610
893	38523	4567
894	38567	4524
895	38608	4481
896	38652	4438
897	38702	4396
898	38747	4353
899	38795	4310
900	38837	4267
901	38877	4223
902	38916	4180
903	38960	4137
904	39000	4093
905	39036	4050
906	39077	4006
907	39115	3963
908	39155	3919
909	39192	3876
910	39237	3833
911	39282	3790
912	39326	3747
913	39363	3703
914	39402	3660
915	39439	3616
916	39479	3573
917	39517	3529
918	39559	3486
919	39596	3443
920	39635	3399
921	39675	3356
922	39716	3313
923	39755	3269
924	39792	3226
925	39831	3183
926	39870	3139
927	39906	3096
928	39943	3052
929	39984	3009
930	40022	2966
931	40062	2922
932	40098	2879
933	40138	2836
934	40176	2793
935	40219	2750
936	40260	2706
937	40300	2663
938	40337	2620
939	40378	2577
940	40416	2534
941	40458	2491
942	40497	2447
943	40535	2404
944	40572	2361
945	40611	2318
946	40649	2275
947	40688	2231
948	40728	2188
949	40766	2145
950	40802	2102
951	40840	2059
952	40880	2016
953	40917	1972
954	40952	1929
955	40991	1886
956	41029	1843
957	41069	1800
958	41104	1757
959	41139	1714
960	41177	1671
961	41217	1628
962	41259	1585
963	41303	1542
964	41344	1499
965	41381	1456
966	41420	1413
967	41458	1370
968	41496	1327
969	41535	1284
970	41573	1241
971	41610	1198
972	41649	1155
973	41687	1112
974	41727	1069
975	41766	1027
976	41803	984
977	41841	941
978	41881	898
979	41920	855
980	41960	812
981	41998	769
982	42037	726
983	42075	684
984	42114	641
985	42150	598
986	42190	555
987	42236	512
988	42277	470
989	42314	427
990	42353	384
991	42391	341
992	42428	299
993	42465	256
994	42503	213
995	42541	170
996	42580	128
997	42617	85
998	42656	42
999	42699	0
